Gift information,Gift information
Gift name,Gift name
Product id,Product id
Status,Status
Enabled,Enabled
Disabled,Disabled
Save Gift,Save Gift
Delete Gift,Delete Gift
Save and Continue Edit,Save and Continue Edit
Edit Gift '%s',Edit Gift '%s'
Add Gift,Add Gift
Action,Action
Edit,Edit
Delete,Delete
Are you sure?,Are you sure?
Change status,Change status
Gift Manager,Gift Manager
Gift : '%s',Gift : '%s'
Gift News,Gift News
Gift does not exist,Gift does not exist
Gift was successfully saved,Gift was successfully saved
Unable to find gift to save,Unable to find gift to save
Gift was successfully deleted,Gift was successfully deleted
Please select gift(s),Please select gift(s)
Total of %d record(s) were successfully deleted,Total of %d record(s) were successfully deleted
Please select another product id,Please select another product id
Manage gifts,Manage gifts